tone      frequency      
24        32.80929596719071
25        34.757422157856624
26        36.83806600153492
27        39.02439024390244
28        41.343669250645995
29        43.7956204379562
30        46.42166344294004
31        49.18032786885246
32        52.11726384364821
33        55.172413793103445
34        58.465286236297196
35        61.935483870967744
36        65.57377049180327
37        69.46454413892909
38        73.61963190184049
39        77.92207792207792
40        82.61617900172116
41        87.75137111517367
42        92.84332688588007
43        98.36065573770492
44        104.34782608695652
45        110.59907834101382
46        117.07317073170732
47        123.71134020618557
48        131.14754098360655
49        138.72832369942196
50        146.0          
51        156.0          
52        164.0          
53        350.0          
54        370.0          
55        392.0          
56        208.0          
57        220.0          
58        234.0          
59        248.0          
60        262.0          
61        278.0          
62        294.0          
63        312.0          
64        330.0          
65        350.0          
66        370.0          
67        392.0          
68        416.0          
69        440.0          
70        466.0          
71        494.0          
72        524.0          
73        554.0          
74        588.0          
75        622.0          
76        660.0          
77        698.0          
78        740.0          
79        784.0          
80        830.0          
81        882.0          
82        932.0          
83        988.0          
84        1046.0         
85        1108.0         
86        1174.0         
87        1244.0         
88        1318.0         
89        1396.0         
90        1478.0         
91        1566.0         
92        1660.0         
93        1758.0         
94        1864.0         
95        1976.0         
96        2094.0         
97        2218.0         
98        2350.0         
99        2490.0         
100       2638.0         
101       2796.0         
102       2962.0         
103       3138.0         
104       3324.0         
105       3522.0         
106       3732.0         
107       3954.0         
108       4188.0         
