tone      frequency      
24        32.163551867333936
25        32.53050189397385
26        36.20558664388712
27        38.32168974956081
28        39.24878483719199
29        44.3641565491692
30        43.5251693671452
31        46.81192849493368
32        56.46036916395223
33        55.611390284757114
34        59.37115541165021
35        61.96142000324201
36        65.32663316582914
37        74.90418808950686
38        72.9722230785831
39        77.30209489003458
40        81.95884759425353
41        87.71462430984906
42        92.9599642312141
43        98.48422440069199
44        104.30412934236399
45        110.55276381909547
46        117.02414511582302
47        123.14148059887064
48        130.54342752011422
49        138.3216661341389
50        146.67252931323281
51        155.41206030150755
52        164.6180904522613
53        349.5603015075377
54        370.464824120603
55        392.4924623115578
56        207.73869346733667
57        220.09212730318256
58        233.3140703517588
59        247.06532663316585
60        261.67085427135675
61        277.41792294807374
62        293.63065326633165
63        311.0854271356784
64        329.5854271356784
65        349.2671691792295
66        369.8450586264657
67        391.8358458961474
68        415.47738693467335
69        440.18425460636513
70        466.19514237855947
71        493.79313232830816
72        523.3417085427135
73        554.2319932998324
74        587.2613065326633
75        622.2604690117253
76        659.1708542713568
77        697.7077051926298
78        739.070351758794
79        783.0150753768844
80        829.6524288107203
81        878.6758793969849
82        931.6097152428811
83        987.5862646566163
84        1046.4380234505863
85        1108.4639865996648
86        1174.4916247906199
87        1244.5209380234505
88        1318.5519262981575
89        1395.4154103852595
90        1478.6189279731993
91        1566.6557788944724
92        1660.6951423785595
93        1758.7361809045226
94        1863.2194304857621
95        1976.8274706867671
96        2094.8768844221104
97        2218.9288107202683
98        2350.9840871021775
99        2491.042713567839
100       2639.104690117253
101       2794.829145728643
102       2960.7596314907873
103       3136.685929648241
104       3325.391959798995
105       3520.525125628141
106       3730.4371859296484
107       3952.3442211055276
108       4189.753768844221
